orth,phon,type,freq,log_freq
blit,/blit/,REG,10,2.48490665
grax,/gr@ks/,REG,10,2.48490665
kleef,/klEf/,REG,10,2.48490665
krim,/krim/,REG,10,2.48490665
nisp,/nisp/,REG,10,2.48490665
plig,/plig/,REG,10,2.48490665
preld,/preld/,REG,10,2.48490665
scark,/skark/,REG,10,2.48490665
shing,/SiN/,REG,10,2.48490665
slape,/slAp/,REG,10,2.48490665
brot,/brOt/,EXC,10,2.48490665
chell,/CEl/,EXC,10,2.48490665
crill,/krIl/,EXC,10,2.48490665
dest,/dEst/,EXC,10,2.48490665
drace,/dro/,EXC,10,2.48490665
fank,/f^Nk/,EXC,10,2.48490665
geam,/jem/,EXC,10,2.48490665
kipe,/kip/,EXC,10,2.48490665
nust,/nUst/,EXC,10,2.48490665
suff,/sUf/,EXC,10,2.48490665
bive,/bIv/,AMB,10,2.48490665
blome,/blOm/,AMB,10,2.48490665
clead,/kled/,AMB,10,2.48490665
frow,/frW/,AMB,10,2.48490665
grour,/grWr/,AMB,10,2.48490665
plone,/plan/,AMB,10,2.48490665
slood,/sl^d/,AMB,10,2.48490665