orth,phon,type
bive,/bIv/,ambiguous
kive,/kIv/,ambiguous
tive,/tIv/,ambiguous
blome,/blOm/,ambiguous
prome,/prOm/,ambiguous
thome,/TOm/,ambiguous
clead,/kled/,ambiguous
smead,/smed/,ambiguous
pread,/pred/,ambiguous
frow,/frW/,ambiguous
clow,/klW/,ambiguous
spow,/spW/,ambiguous
grour,/grWr/,ambiguous
snour,/snWr/,ambiguous
frour,/frWr/,ambiguous
plone,/plan/,ambiguous
frone,/fran/,ambiguous
smone,/sman/,ambiguous
slood,/sl^d/,ambiguous
vood,/v^d/,ambiguous
frood,/fr^d/,ambiguous
trear,/trAr/,ambiguous
plear,/plAr/,ambiguous
crear,/crAr/,ambiguous
drush,/druS/,ambiguous
skush,/skuS/,ambiguous
thush,/TuS/,ambiguous
thops,/TOp/,ambiguous
frops,/frOp/,ambiguous
blops,/blOp/,ambiguous
brot,/brOt/,exception
splot,/splOt/,exception
stot,/stOt/,exception
chell,/CEl/,exception
drell,/drEl/,exception
plell,/plEl/,exception
crill,/crIl/,exception
dwill,/dwIl/,exception
clill,/klIl/,exception
dest,/dEst/,exception
trest,/trEst/,exception
glest,/glEst/,exception
drace,/dro/,exception
thace,/To/,exception
smace,/smo/,exception
fank,/fank/,exception
nank,/nank/,exception
pank,/pank/,exception
geam,/gem/,exception
cheam,/Cem/,exception
tream,/trem/,exception
kipe,/kip/,exception
fipe,/fip/,exception
mipe,/mip/,exception
fust,/fUst/,exception
blust,/blUst/,exception
pust,/pUst/,exception
suff,/sUf/,exception
chuff,/CUf/,exception
vuff,/vUf/,exception
blit,/blit/,regular
drit,/drit/,regular
smit,/smit/,regular
grax,/gr@ks/,regular
glax,/gl@ks/,regular
brax,/br@ks/,regular
kleef,/klEf/,regular
preef,/prEf/,regular
smeef,/smEf/,regular
krim,/krim/,regular
plim,/plim/,regular
spim,/spim/,regular
nisp,/nisp/,regular
fisp,/fisp/,regular
chisp,/Cisp/,regular
plig,/plig/,regular
drig,/drig/,regular
snig,/snig/,regular
preld,/preld/,regular
steld,/steld/,regular
freld,/freld/,regular
scark,/skark/,regular
plark,/plark/,regular
crark,/crark/,regular
ning,/niN/,regular
hing,/hiN/,regular
ging,/giN/,regular
slape,/slAp/,regular
thape,/TAp/,regular
chape,/CAp/,regular